"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Pierna Martes y Viernes","17 may 2024, 15:05","17 may 2024, 16:59","","Peso Muerto (Barra)",,"",0,"normal",100,6,,,8
"Pierna Martes y Viernes","17 may 2024, 15:05","17 may 2024, 16:59","","Peso Muerto (Barra)",,"",1,"normal",100,6,,,8
"Pierna Martes y Viernes","17 may 2024, 15:05","17 may 2024, 16:59","","Peso Muerto (Barra)",,"",2,"normal",80,7,,,8
"Pierna Martes y Viernes","17 may 2024, 15:05","17 may 2024, 16:59","","Peso Muerto (Barra)",,"",3,"normal",80,7,,,8
"Pierna Martes y Viernes","17 may 2024, 15:05","17 may 2024, 16:59","","Sentadilla (Barra)",,"",0,"normal",70,8,,,8
"Pierna Martes y Viernes","17 may 2024, 15:05","17 may 2024, 16:59","","Sentadilla (Barra)",,"",1,"normal",70,7,,,8
"Pierna Martes y Viernes","17 may 2024, 15:05","17 may 2024, 16:59","","Sentadilla (Barra)",,"",2,"normal",60,11,,,8
"Pierna Martes y Viernes","17 may 2024, 15:05","17 may 2024, 16:59","","Sentadilla (Barra)",,"",3,"normal",60,9,,,7
"Pierna Martes y Viernes","17 may 2024, 15:05","17 may 2024, 16:59","","Sentadilla Búlgara",,"",0,"normal",15,9,,,7
"Pierna Martes y Viernes","17 may 2024, 15:05","17 may 2024, 16:59","","Sentadilla Búlgara",,"",1,"normal",15,9,,,8
"Pierna Martes y Viernes","17 may 2024, 15:05","17 may 2024, 16:59","","Curls de Piernas de Pie",,"",0,"normal",30,9,,,8
"Pierna Martes y Viernes","17 may 2024, 15:05","17 may 2024, 16:59","","Curls de Piernas de Pie",,"",1,"normal",25,10,,,7.5
"Pierna Martes y Viernes","17 may 2024, 15:05","17 may 2024, 16:59","","Curls de Piernas de Pie",,"",2,"normal",25,8,,,8
"Pierna Martes y Viernes","17 may 2024, 15:05","17 may 2024, 16:59","","Curls de Piernas de Pie",,"",3,"normal",25,7,,,8
